HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth (in years)
1,Iceland,0.972,82.7
2,Norway,0.970,83.3
2,Switzerland,0.970,84.0
4,Denmark,0.962,81.9
5,Germany,0.959,81.4
5,Sweden,0.959,83.3
7,Australia,0.958,83.9
8,Hong Kong. China (SAR),0.955,85.5
8,Netherlands,0.955,82.2
10,Belgium,0.951,82.1
11,Ireland,0.949,82.4
12,Finland,0.948,81.9
13,Singapore,0.946,83.7
13,United Kingdom,0.946,81.3
15,United Arab Emirates,0.940,82.9
16,Canada,0.939,82.6
17,Liechtenstein,0.938,83.6
17,New Zealand,0.938,82.1
17,United States,0.938,79.3
20,Korea (Republic of),0.937,84.3
21,Slovenia,0.931,81.6
22,Austria,0.930,82.0
23,Japan,0.925,84.7
24,Malta,0.924,83.3
25,Luxembourg,0.922,82.2
26,France,0.920,83.3
27,Israel,0.919,82.4
28,Spain,0.918,83.7
29,Czechia,0.915,79.8
29,Italy,0.915,83.7
29,San Marino,0.915,85.7
32,Andorra,0.913,84.0
32,Cyprus,0.913,81.6
34,Greece,0.908,81.9
35,Poland,0.906,78.6
36,Estonia,0.905,79.2
37,Saudi Arabia,0.900,78.7
38,Bahrain,0.899,81.3
39,Lithuania,0.895,76.0
40,Portugal,0.890,82.4
41,Croatia,0.889,78.6
41,Latvia,0.889,76.2
43,Qatar,0.886,82.4
44,Slovakia,0.880,78.3
45,Chile,0.878,81.2
46,Hungary,0.870,77.0
47,Argentina,0.865,77.4
48,Montenegro,0.862,77.1
48,Uruguay,0.862,78.1
50,Oman,0.858,80.0
51,Türkiye,0.853,77.2
52,Kuwait,0.852,80.4
53,Antigua and Barbuda,0.851,77.6
54,Seychelles,0.848,72.9
55,Bulgaria,0.845,75.6
55,Romania,0.845,75.9
57,Georgia,0.844,74.5
58,Saint Kitts and Nevis,0.840,72.1
59,Panama,0.839,79.6
60,Brunei Darussalam,0.837,75.3
60,Kazakhstan,0.837,74.4
62,Costa Rica,0.833,80.8
62,Serbia,0.833,76.8
64,Russian Federation,0.832,73.2
65,Belarus,0.824,74.4
66,Bahamas,0.820,74.6
67,Malaysia,0.819,76.7
68,North Macedonia,0.815,77.4
69,Armenia,0.811,75.7
69,Barbados,0.811,76.2
71,Albania,0.810,79.6
72,Trinidad and Tobago,0.807,73.5
73,Mauritius,0.806,74.9
74,Bosnia and Herzegovina,0.804,77.9
75,Iran (Islamic Republic of),0.799,77.7
76,Saint Vincent and the Grenadines,0.798,71.2
76,Thailand,0.798,76.4
78,China,0.797,78.0
79,Peru,0.794,77.7
80,Grenada,0.791,75.2
81,Azerbaijan,0.789,74.4
81,Mexico,0.789,75.1
83,Colombia,0.788,77.7
84,Brazil,0.786,75.8
84,Palau,0.786,69.3
86,Moldova (Republic of),0.785,71.2
87,Ukraine,0.779,73.4
88,Ecuador,0.777,77.4
89,Dominican Republic,0.776,73.7
89,Guyana,0.776,70.2
89,Sri Lanka,0.776,77.5
92,Tonga,0.769,72.9
93,Maldives,0.766,81.0
93,Viet Nam,0.766,74.6
95,Turkmenistan,0.764,70.1
96,Algeria,0.763,76.3
97,Cuba,0.762,78.1
98,Dominica,0.761,71.1
99,Paraguay,0.756,73.8
100,Egypt,0.754,71.6
100,Jordan,0.754,77.8
102,Lebanon,0.752,77.8
103,Saint Lucia,0.748,72.7
104,Mongolia,0.747,71.7
105,Tunisia,0.746,76.5
106,South Africa,0.741,66.1
107,Uzbekistan,0.740,72.4
108,Bolivia (Plurinational State of),0.733,68.6
108,Gabon,0.733,68.3
108,Marshall Islands,0.733,66.9
111,Botswana,0.731,69.2
111,Fiji,0.731,67.3
113,Indonesia,0.728,71.1
114,Suriname,0.722,73.6
115,Belize,0.721,73.6
115,Libya,0.721,69.3
117,Jamaica,0.720,71.5
117,Kyrgyzstan,0.720,71.7
117,Philippines,0.720,69.8
120,Morocco,0.710,75.3
121,Venezuela (Bolivarian Republic of),0.709,72.5
122,Samoa,0.708,71.7
123,Nicaragua,0.706,74.9
124,Nauru,0.703,62.1
125,Bhutan,0.698,73.0
126,Eswatini (Kingdom of),0.695,64.1
126,Iraq,0.695,72.3
128,Tajikistan,0.691,71.8
129,Tuvalu,0.689,67.1
130,Bangladesh,0.685,74.7
130,India,0.685,72.0
132,El Salvador,0.678,72.1
133,Equatorial Guinea,0.674,63.7
133,Palestine. State of,0.674,65.2
135,Cabo Verde,0.668,76.1
136,Namibia,0.665,67.4
137,Guatemala,0.662,72.6
138,Congo,0.649,65.8
139,Honduras,0.645,72.9
140,Kiribati,0.644,66.5
141,Sao Tome and Principe,0.637,69.7
142,Timor-Leste,0.634,67.7
143,Ghana,0.628,65.5
143,Kenya,0.628,63.6
145,Nepal,0.622,70.4
146,Vanuatu,0.621,71.5
147,Lao People's Democratic Republic,0.617,69.0
148,Angola,0.616,64.6
149,Micronesia (Federated States of),0.615,67.2
150,Myanmar,0.609,66.9
151,Cambodia,0.606,70.7
152,Comoros,0.603,66.8
153,Zimbabwe,0.598,62.8
154,Zambia,0.595,66.3
155,Cameroon,0.588,63.7
156,Solomon Islands,0.584,70.5
157,Côte d'Ivoire,0.582,61.9
157,Uganda,0.582,68.3
159,Rwanda,0.578,67.8
160,Papua New Guinea,0.576,66.1
161,Togo,0.571,62.7
162,Syrian Arab Republic,0.564,72.1
163,Mauritania,0.563,68.5
164,Nigeria,0.560,54.5
165,Tanzania (United Republic of),0.555,67.0
166,Haiti,0.554,64.9
167,Lesotho,0.550,57.4
168,Pakistan,0.544,67.6
169,Senegal,0.530,68.7
170,Gambia,0.524,65.9
171,Congo (Democratic Republic of the),0.522,61.9
172,Malawi,0.517,67.4
173,Benin,0.515,60.8
174,Guinea-Bissau,0.514,64.1
175,Djibouti,0.513,66.0
176,Sudan,0.511,66.3
177,Liberia,0.510,62.2
178,Eritrea,0.503,68.6
179,Guinea,0.500,60.7
180,Ethiopia,0.497,67.3
181,Afghanistan,0.496,66.0
182,Mozambique,0.493,63.6
183,Madagascar,0.487,63.6
184,Yemen,0.470,69.3
185,Sierra Leone,0.467,61.8
186,Burkina Faso,0.459,61.1
187,Burundi,0.439,63.7
188,Mali,0.419,60.4
188,Niger,0.419,61.2
190,Chad,0.416,55.1
191,Central African Republic,0.414,57.4
192,Somalia,0.404,58.8
193,South Sudan,0.388,57.6
